This document is a summary of the European Public Assessment Report ( EPAR ) .	این سند خلاصه ای از گزارش ارزیابی عمومی اروپا (EPAR) است.	0-0 1-1 4-2 4-3 5-4 10-5 9-6 8-7 7-8 12-9 14-10
Just use the Add button when you are in List mode .	فقط وقتی در حالت لیست هستید ، از دکمه افزودن استفاده کنید.	0-0 5-1 2-2 10-3 9-4 6-5 11-6 7-7 4-8 9-9 11-10 11-11
You can set each graph its own color .	می توانید هر نمودار را رنگ خود تنظیم کنید.	0-0 1-1 3-2 4-3 5-4 7-5 6-6 8-7 8-8
The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	این بنیاد اخیراً در برگزاری کنفرانسی که به این چالش مهم پرداخته است ، درگیر شده است.	0-0 1-1 3-2 6-3 9-5 10-6 13-8 15-9 14-10 11-11 10-12 16-13 5-14 16-15 16-16
Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	بیش از 100 شرکت کننده از گروه های ذینفع اصلی در موضوعاتی از جمله نقش بازیگران کلیدی از جمله مقامات دولتی ، شرکای اجتماعی ، سازمان های داوطلبانه و جامعه و همچنین کاربران خدمات بحث و گفتگو کردند.	0-0 3-1 1-2 2-3 2-4 3-5 7-6 7-7 5-9 8-10 11-11 3-12 19-13 15-14 18-15 17-16 16-17 19-18 21-19 20-20 22-21 24-22 23-23 22-24 23-25 23-26 26-27 27-28 28-29 27-30 31-31 34-32 33-33 10-34 27-35
There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .	موارد نسبتاً کمی در مورد تلاش برای مشارکت کاربران در برنامه ریزی خدمات گزارش شده است اما مشارکت آنها در ارائه خدمات شایع تر است.	4-0 2-1 3-2 11-3 4-4 7-5 7-6 9-7 10-8 11-9 13-10 13-11 12-12 5-13 5-14 14-16 16-17 15-18 17-19 18-20 18-21 25-22 24-23 26-24
Note was also taken of the variety of different roles played by public welfare	توجه داشته باشید از انواع نقش های مختلف که توسط رفاه عمومی بازی شده است	0-0 0-1 0-2 4-3 6-4 9-5 6-6 8-7 7-8 11-9 13-10 12-11 10-12 11-13 13-14
The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	این بنیاد ، به همراه کمیسیون اروپا ، وزارت امور اجتماعی اسپانیا و دولت منطقه ای گالیسی ، یک کنفرانس اروپایی در مورد محرومیت اجتماعی: یک چالش بزرگ برای خدمات بهزیستی عمومی برگزار شد.	0-0 1-1 3-2 5-4 8-5 7-6 9-7 12-8 15-9 14-10 11-11 16-12 20-13 19-14 19-15 18-16 21-17 22-18 24-19 23-20 25-21 25-22 27-23 26-24 29-25 31-26 30-27 32-28 35-29 32-30 33-31 24-32 36-33
The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	این بنیاد اخیراً یک مطالعه تطبیقی را به عنوان بخشی از پروژه EPOC منتشر کرده است که میزان مشارکت مستقیم می تواند انسان را ضمن افزایش سودآوری ارزیابی کند.	0-0 1-1 2-2 4-3 6-4 5-5 14-6 7-7 7-8 8-9 9-10 12-11 11-12 3-13 13-15 13-16 16-17 20-18 19-19 21-20 21-21 24-22 25-24 22-25 21-26 23-27 14-29 23-30 27-31
The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	این مطالعه بر اساس مصاحبه شخصی 195 با مقامات ارشد شرکای اجتماعی به عنوان نمایندگان سازمان های اوج سطح ملی در پانزده کشور اروپایی انجام شده است.	0-0 1-1 3-2 3-3 7-4 6-5 5-6 8-7 10-8 9-9 14-10 13-11 15-12 15-13 16-14 13-15 13-16 20-17 19-18 18-19 22-20 23-21 25-22 24-23 26-25 26-26
As important industrial sectors , the metal industry and the banking sector were also included .	به عنوان بخش های مهم صنعتی ، صنعت فلز و بخش بانکی نیز درج شده بودند.	0-0 0-1 3-2 4-3 1-4 2-5 4-6 7-7 6-8 8-9 11-10 10-11 13-12 14-13 15-14 15-15
Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	سخنرانان کلیدی در کنفرانس محرومیت اجتماعی (از چپ به راست) کریستینا لورو ، اشتغال ، روابط صنعتی و امور اجتماعی ، کمیسیون اروپا فرناندو گومز ، درجه بالایی از کمیته مناطق باربارا ویلر ، عضو پارلمان اروپا José Maria Gil- Robles ، معاون رئیس جمهور ، پارلمان اروپا و جان کارول ، کمیته اقتصادی و اجتماعی.	1-0 0-1 2-2 6-3 5-4 4-5 9-7 10-8 15-9 13-10 15-11 15-12 16-13 15-14 4-15 18-16 20-17 22-18 21-19 24-20 26-21 25-22 27-23 29-24 29-25 32-26 31-27 33-28 34-29 37-30 38-31 40-32 40-33 41-34 45-35 44-36 46-37 47-38 40-39 49-40 49-41 49-42 51-45 53-46 52-47 54-48 55-49 56-50 57-51 61-52 58-53 59-54 4-55
Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	مطالعات موردی هر گزارش ملی شامل نمونه کارها بین 25 تا 30 ابتکار عمل است که بهترین سیاست ها و شیوه های موجود برای بهبود استخدام ، آموزش و توسعه کارگران پیری در محل کار و جامعه است.	1-0 4-1 2-2 4-3 3-4 5-5 6-6 34-7 9-8 10-9 12-10 12-11 13-12 5-14 14-15 15-16 17-17 22-18 18-19 19-20 19-21 16-22 20-23 21-24 23-25 24-26 25-27 26-28 27-29 30-30 36-31 31-32 35-33 34-34 36-35 38-36 39-37
For each country , two or three initiatives have been selected for further in depth case study .	برای هر کشور ، دو یا سه ابتکار عمل برای مطالعه بیشتر در مورد موردی انتخاب شده است.	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 15-8 11-9 16-10 12-11 15-12 10-13 17-14 17-15
These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	این مطالعات موردی ، پیشینه ابتکارات ، تأثیر آنها بر الگوهای اشتغال و سازمان های کاری را مورد تجزیه و تحلیل قرار داده و مزایا و مشکلات ابتکار عمل را ارزیابی کرده است.	0-0 2-1 1-2 9-3 5-4 8-5 9-6 11-7 10-8 11-9 14-10 13-11 15-12 7-13 9-14 16-15 10-16 1-17 15-18 15-19 18-20 12-21 20-22 18-23 21-24 22-25 23-26 26-27 16-28 25-29 19-30 25-31 27-32
Visits and interviews with key personnel were also undertaken .	بازدیدها و مصاحبه با پرسنل کلیدی نیز انجام شد.	0-0 1-1 2-2 3-3 5-4 4-5 7-6 8-7 9-8
These national studies will form the basis of a European report which synthesises overall practices .	این مطالعات ملی اساس یک گزارش اروپایی را تشکیل می دهد که شیوه های کلی را سنتز می کند.	0-0 2-1 1-2 6-3 8-4 10-5 9-6 5-7 4-8 11-10 11-11 14-12 14-13 13-14 14-15 12-16 15-17 15-18
The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	این گزارش و یک کتاب موردی از ابتکارات در سال 1996 منتشر می شود و زمینه ای را برای کنفرانسی فراهم می کند که در پاییز 1996 برگزار شود.	0-0 1-1 2-2 3-3 5-4 4-5 6-6 7-7 11-8 12-9 12-10 10-11 9-13 13-14 16-15 18-16 22-17 17-18 19-19 14-20 27-21 25-22 23-24 24-25 26-26 19-27 27-28
The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	این بنیاد با هدف مستند سازی ویژگی های موانع سنی در استخدام شغلی و آموزش و تجزیه و تحلیل دلایل آنها.	0-0 1-1 3-2 2-3 4-4 4-5 6-6 6-7 9-8 8-9 10-10 12-11 11-12 13-13 14-14 15-15 17-16 15-17 17-18 19-19 17-20
The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	دیدگاه های شرکای اجتماعی نیز مورد بررسی قرار می گیرد ، با توجه ویژه ای به پیشنهادات رفع موانع سنی.	1-0 4-1 5-2 4-3 7-4 8-5 9-6 8-7 10-8 8-9 10-10 11-11 13-12 12-13 15-15 18-16 18-17 20-18 21-19
Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	ثالثاً ، این پروژه ابتکارات را در هر دو بخش دولتی و خصوصی که موانع سنی را به ویژه برای کارگران مسن مبارزه می کنند ، اسناد و ارزیابی می کند.	0-0 1-1 2-2 3-3 7-4 6-5 9-6 10-7 10-8 15-9 12-10 13-11 14-12 16-13 19-14 18-15 6-16 21-18 22-19 24-20 23-21 17-22 25-23 20-25 4-26 13-27 25-28 25-29 25-30
Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	این پروژه به دنبال گزینه های دیگر برای بازنشستگی و افزونگی زودرس ، در درجه اول به حفظ ، ادغام مجدد و بازآموزی کارگران مسن مربوط می شود.	9-1 0-2 0-3 1-4 7-5 2-7 4-8 5-9 6-10 3-11 7-12 11-13 11-14 11-15 15-17 16-18 13-19 17-20 18-21 19-22 22-23 21-24 20-25 23-26 23-27
The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	پیشینه جنسیت و قومی کارگران و چگونگی ارتباط اینها با تبعیض سنی بررسی می شود.	4-0 1-1 2-2 3-3 6-4 7-5 8-6 10-7 9-8 10-9 13-10 12-11 15-12 16-13 16-14
The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	این پروژه همچنین ابتکاراتی را برای مبارزه با تبعیض سن در مناطق روستایی و در شرکتهای کوچک و متوسط در نظر می گیرد.	0-0 1-1 2-2 4-3 3-4 5-5 6-6 6-7 8-8 7-9 9-10 10-11 10-12 12-13 13-14 14-15 14-16 15-17 16-18 13-19 19-21 18-22
Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	هفت کشور عضو تحت پوشش این پروژه قرار دارند: بلژیک ، فرانسه ، آلمان ، یونان ، ایتالیا ، هلند و انگلستان.	0-0 2-1 1-2 5-3 4-4 6-5 7-6 5-7 10-8 9-9 12-10 11-11 14-12 13-13 16-14 15-15 18-16 17-17 18-18 20-19 21-20 24-21
This document is a summary of the European Public Assessment Report .	این سند خلاصه ای از گزارش ارزیابی عمومی اروپا است.	0-0 1-1 4-2 4-3 5-4 10-5 9-6 8-7 7-8 11-9
It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	این توضیح می دهد که چگونه کمیته محصولات دارویی برای استفاده دامپزشکی (CVMP) مطالعات انجام شده را ارزیابی کرده است تا به توصیه های خود در مورد نحوه استفاده از دارو برسد.	0-0 1-1 1-2 1-3 3-4 2-5 4-6 6-7 7-8 8-9 10-10 9-11 12-12 16-13 17-14 16-15 15-16 14-17 19-20 20-21 22-22 18-23 21-24 23-25 23-26 24-27 26-28 26-29 28-30 20-31
What is Cerenia ?	cerenia چیست؟	2-0 3-1
Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	Cerenia حاوی ماده فعال ماروپانت است و به عنوان قرص یا به عنوان محلول برای تزریق در دسترس است.	0-0 1-1 4-2 3-3 5-4 7-5 6-6 9-7 9-8 10-9 11-10 9-11 12-12 13-13 14-14 15-15 8-16 8-17 16-18
The tablets are pale-orange and have a score line on both sides so that they can be halved .	قرص ها نارنجی کم رنگ هستند و از هر دو طرف خط امتیاز دارند تا بتوانند نصف شوند.	1-0 2-1 3-2 3-3 0-4 2-5 4-6 10-8 10-9 11-10 8-11 7-12 14-13 12-14 15-15 17-16 16-17
Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	هر رایانه لوحی با آرم Pfizer از یک طرف و با حروف MPT و مقدار Maropitant در طرف دیگر مشخص شده است.	0-0 5-1 3-2 4-3 6-4 6-5 9-6 9-7 10-8 11-9 12-10 14-11 15-12 16-13 18-14 20-15 21-16 24-17 23-18 3-19 25-20 25-21
What is Cerenia used for ?	Cerenia برای چه چیزی استفاده می شود؟	2-0 4-1 0-2 0-3 3-4 5-5 5-6
Cerenia is an anti-emetic , this means that it stops vomiting .	Cerenia ضد خویش است ، این بدان معنی است که استفراغ را متوقف می کند.	0-0 3-1 3-2 1-3 4-4 5-5 6-6 6-7 6-8 7-9 10-10 8-11 9-12 11-13 11-14
It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	از این سگ ها برای جلوگیری از استفراغ مانند استفراغ ناشی از شیمی درمانی استفاده می شود (داروهای مورد استفاده برای درمان سرطان ، که برخی از آنها به استفراغ شناخته می شود).	6-0 0-1 4-2 4-3 17-4 6-5 6-6 7-7 8-8 10-9 11-10 6-11 13-12 13-13 16-14 29-16 14-17 16-18 16-19 17-20 19-21 21-22 22-23 25-24 23-25 24-26 26-27 28-28 30-29 27-30 31-31 31-32
In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	در ترکیب با اقدامات حمایتی مانند سایر معالجه دامپزشکی یا رژیم غذایی خاص ، می توان از Cerenia در درمان استفراغ (یا به عنوان تزریق یا به عنوان تزریق و به دنبال آن قرص ها) نیز استفاده کرد.	0-0 1-1 2-2 4-3 3-4 5-5 7-6 9-7 8-8 10-9 13-10 13-11 12-12 14-13 16-14 16-15 23-16 15-17 20-18 22-19 24-20 27-23 28-24 29-25 27-26 27-27 28-28 30-30 32-31 34-33 35-34 17-35 19-36 36-37
For these purposes , Cerenia can be given for up to five days	برای این اهداف ، Cerenia می تواند تا پنج روز داده شود	0-0 1-1 2-2 3-3 4-4 5-5 5-6 5-7 10-8 11-9 12-10 7-11 12-12
How does Cerenia work ?	Cerenia چگونه کار می کند؟	2-0 0-1 3-2 4-3 4-4
Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	Cerenia یک گیرنده نوروکینین 1 (NK1) را مسدود می کند ، که در سیستم عصبی مرکزی عمل می کند.	0-0 2-1 8-2 3-3 4-4 6-5 6-7 7-8 9-9 9-10 10-11 12-12 16-13 15-14 14-15 11-16 17-17 17-18
How has Cerenia been studied ?	چگونه Cerenia مورد مطالعه قرار گرفته است؟	0-0 2-1 4-2 4-3 4-4 4-5 5-6
A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	تعداد زیادی از مطالعات با سرنیا یا در سگهای آزمایشگاهی یا در بیماران حیوانات در اقدامات دامپزشکی در چندین کشور اروپایی و ایالات متحده انجام شد.	2-0 1-1 3-2 4-3 5-4 6-5 10-6 11-7 13-8 12-9 14-10 11-11 17-12 16-13 15-14 19-15 19-16 21-17 22-18 24-19 23-20 25-21 28-22 28-23 8-24 29-25
What benefit has Cerenia shown during the studies ?	Cerenia در طول مطالعات چه فایده ای نشان داده است؟	3-0 5-1 5-2 7-3 0-4 1-5 6-6 4-7 4-8 8-9
The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	نتایج این مطالعات نشان داد که Cerenia از دارونما مؤثرتر است: استفراغ کمتری در سگهایی که دارو را دریافت می کردند نسبت به سگهایی که دارونما دریافت کرده اند ، هم در درمان و هم در پیشگیری از استفراغ دیده می شود.	1-0 0-1 4-2 5-3 5-4 6-5 7-6 11-7 13-8 10-9 0-10 16-11 15-12 19-13 20-14 21-15 13-16 18-17 22-18 22-20 25-21 27-23 28-24 31-25 29-26 29-27 29-28 32-29 33-30 34-31 36-32 33-34 38-35 40-36 41-37 42-38 18-39 43-40 43-41
The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	درمان سگ استفراغ باید با تزریق آغاز شود ، زیرا حیوانات استفراغ ممکن است نتوانند یک قرص را پایین نگه دارند (زیرا ممکن است دوباره قرص دست نخورده را به سمت بالا پرتاب کنند).	1-0 5-1 4-2 6-3 9-4 11-5 8-6 7-7 12-8 13-9 15-10 14-11 16-12 16-13 19-14 22-15 23-16 21-17 24-18 21-19 27-20 23-21 28-22 28-23 34-24 23-25 31-26 31-27 29-28 26-29 24-30 33-31 29-32 32-33
For follow-up treatment , the animal owner can administer the tablets to the dog .	برای درمان پیگیری ، صاحب حیوان می تواند قرص ها را به سگ تجویز کند.	0-0 2-1 1-2 3-3 6-4 5-5 7-6 7-7 10-8 9-9 9-10 11-11 13-12 8-13 14-14
Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	همچنین ، درمان استفراغ فقط باید در حالی که به دلایل اساسی استفراغ می پردازد ، همراه با سایر اقدامات حمایتی یا سایر دامپزشکی باشد.	0-0 1-1 3-2 5-3 7-4 6-5 10-6 10-7 11-8 16-9 12-10 14-11 15-12 16-13 20-14 18-15 18-16 19-17 19-18 22-19 21-20 25-21 26-22
What is the risk associated with Cerenia ?	خطر مرتبط با Cerenia چیست؟	3-0 4-1 5-2 6-3 7-4
Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	Cerenia به طور کلی هنگام تجویز روزانه با دوزها تا 5 برابر دوزهای توصیه شده برای مدت زمان طولانی (حداکثر 3 برابر حداکثر مدت زمان توصیه شده از درمان) به خوبی تحمل می شد.	0-0 2-1 2-2 2-3 5-4 33-5 7-6 16-8 11-9 12-10 13-11 16-12 15-13 15-14 17-15 20-16 22-17 20-18 15-19 26-20 27-21 30-22 31-23 29-24 29-25 32-26 29-27 25-28 3-29 32-30 34-31 35-32
What are the precautions for the person who gives the medicine or comes into contact with the animal ?	اقدامات احتیاطی برای شخصی که دارو را می دهد یا با حیوان در تماس است چیست؟	3-0 3-1 4-2 6-3 7-4 10-5 9-6 8-7 8-8 11-9 15-10 17-11 16-12 14-13 16-14 18-15
Cerenia does not represent a particular risk for people .	Cerenia خطر خاصی را برای مردم نشان نمی دهد.	0-0 6-1 5-2 3-3 7-4 8-5 3-6 2-7 9-8
