PairID	Text1	Text2
ENG-dev-0191	rubbish will often tell you more about someone than a conversation face to face .	La basura que alguien deja en la acera a menudo puede decir más que una conversación cara a cara.
ENG-dev-0195	A boy in red jumps backward onto the sand at a playground.	El chico del bañador rojo salta sobre la arena.
ENG-dev-0198	The population was 610 at the 2000 census .	En el año 2000, la población era de 11.792 habitantes.
ENG-dev-0200	There are over 35 formal flowerbeds, geometric pathways, rose arbor, grape arbor, fruit trees, and vegetable and herb gardens.	Se utiliza ampliamente un invernadero para proporcionar plántulas utilizadas en la finca.
ENG-dev-0201	It was remade in 1952.	La dirección artística de la película estuvo a cargo de Robert Neppach y Erwin Scharf.
ENG-dev-0202	The species is also known as the Common Hippopotamus or the Nile Hippopotamus .	 sirve para generar rápidamente etiquetas de categorías relacionadas con años de nacimiento y muerte , incluidas personas vivas y valores perdidos o desconocidos .
ENG-dev-0203	i think we both got taught when we tried to help someone we cared about .	Creo que ambos nos arruinamos al intentar hacerle un favor a alguien que nos importa.
ENG-dev-0204	Glidden is a town in Carroll County , Iowa , United States .	Balsam Lake es una ciudad en el condado de Polk, Wisconsin, Estados Unidos.
ENG-dev-0206	and the vultures who really do suede !	¡Y buitres que realmente pueden zumbar!
ENG-dev-0207	it 's a popular psychology , or is there a piece of truth ?	¿Es esto sólo psicología popular o hay algo de verdad en ello?
ENG-dev-0209	But he is such a great guy and loves her for who she is.	Él es un gran tipo y la ama por la persona que es.
ENG-dev-0210	And if reality TV really contained as many complicated, engaging characters as this book -- well, I would watch more of it.	(Realmente sólo hago programas de cocina.
ENG-dev-0211	At this point a local road -LRB- to Scout Green -RRB- runs between the two carriageways without a link to the motorway .	El distrito de Locarno -LRB- también llamado Locarnese -RRB- es un distrito del cantón Ticino, Suiza.
ENG-dev-0212	PG&E Corp. shares were up 39 cents or 2.6 percent at $15.59 on the New York Stock Exchange on Tuesday.	Las acciones de PG&E ganaron 24 centavos a 15,44 dólares durante la negociación del martes en la Bolsa de Valores de Nueva York.
ENG-dev-0215	A woman with ripped jeans and boots is playing a street game.	Un gran grupo de personas se reúne afuera de una calle muy transitada.
ENG-dev-0216	I highly recommend that you read this book.	Este es el primer libro que leo en meses...
ENG-dev-0217	Long Hollow is a tributary of the creek.	La cuenca del arroyo tiene una superficie de 7,2 millas cuadradas (19 km2).
ENG-dev-0218	If you were thinking about getting it, DON'T!	Si estabas pensando en adquirirlo, te recomiendo encarecidamente que lo reconsideres.
ENG-dev-0219	Man standing in front on automated turn stile.	Una mujer parada frente a una escena de playa y sonriendo.
ENG-dev-0220	There were quite a few twists in Invaded that left me shocked and dying to find out more.	Cara había descubierto quién estaba tratando de arruinar la alianza y que no eran lo que parecían ser.
ENG-dev-0222	I think she would like flowers, dinner, and chocolate!	Creo que agradecería flores, cena y chocolate.
ENG-dev-0225	A quick research (1, 2) showed me that the concentration of caffeine seems to peak about 30-60mins after ingestion.	El problema es que nunca llega a ser útil en su verdadero significado.
ENG-dev-0228	A masked steel worker in orange works on a piece of metal, yellow sparks flying.	Niños afroamericanos jugando en una calle frente a un coche amarillo.
ENG-dev-0229	A man in white playing an instrument outside.	un hombre se cae de su kayak.
ENG-dev-0230	ca n't you really feel it ?	¿En serio no hueles eso?
ENG-dev-0232	What can I say I need MORE.	No puedo decir que me guste mucho Emma y sus amigos son súper molestos.
ENG-dev-0235	The new rings bring the total number of Uranian rings to 13 .	En 2010, la gente sabe que el sistema de anillos de Urano tiene 13 anillos.
ENG-dev-0237	When Green tore his ACL in a preseason game , Warner took over as the Rams ' starter .	Cuando su mariscal de campo principal, Trent Green, se lesionó en un partido de pretemporada, Warner se convirtió en titular.
ENG-dev-0239	That said, I had a great time living in this book.	Es difícil creer que quede alguien que quiera leer Los juegos del hambre y no lo haya hecho.
ENG-dev-0240	Catherine Fournier (born 7 April 1992) is a Canadian politician, who was elected as mayor of Longueuil on November 7, 2021.	Es la tercera alcaldesa en la historia de la ciudad.
ENG-dev-0242	Reading the blurb made me interested in reading this book.	Todas las emociones que este libro me había hecho sentir.
ENG-dev-0246	I feel sorry for the books that I will read after Heir of Fire.	: Más de una persona me recomendó este libro.
ENG-dev-0249	religious extremism continues in pakistan despite the banning of militant groups.	El extremismo religioso continúa en Pakistán a pesar de la prohibición de grupos militantes por parte del gobierno paquistaní.
